classification	sessionId	first_ts	last_ts	n_prompts	feature_score	exclude_score	projects	first_prompt
FEATURE	d1904aeb-d1d9-45b8-bace-ded56c64538f	2026-03-04T09:19:03.469000	2026-03-05T10:30:27.316000	107	10	0	<LOCAL_WORKSPACE>	i was working on https://github.com/promptdriven/pdd/issues/610 but i moved to some other repo and i was making this, can you help me find it
FEATURE	fdf3d1f0-c653-4a48-b5e0-d7f5387508c3	2026-03-04T10:32:32.555000	2026-03-06T09:27:48.538000	180	2	0	<LOCAL_WORKSPACE>	i think pdd has lot of problem where it references wrong api endpoints wrong stuff, find me all issues create on my fork, gltanaka, pdd cloud on this give me full list and explain
FEATURE	33030537-d32d-4298-b269-7a13379a1395	2026-03-04T10:50:36.078000	2026-03-04T10:55:19.162000	2	1	0	<LOCAL_WORKSPACE>	can you look at pdd-cloud-hackthon, how the backend functions, are i want to fix the path strucutre of it, see firebase from where to the calls happens, i think there are lot of duplicates so i want t
FEATURE	5ebce295-e785-4160-8b30-489a73307b5b	2026-03-04T11:18:19.505000	2026-03-04T11:21:29.695000	3	2	0	<LOCAL_WORKSPACE>	https://github.com/promptdriven/pdd_cloud/issues/523 what happened
FEATURE	01fd813b-2ce5-4500-b940-ba63c66978b7	2026-03-04T12:01:01.481000	2026-03-04T12:01:01.481000	1	2	0	<LOCAL_WORKSPACE>	https://github.com/promptdriven/pdd_cloud/issues/523 check progress on this using gcloud logs
FEATURE	92b717df-a0b8-4f20-9e60-f9c48d4a533f	2026-03-04T12:05:44.107000	2026-03-04T12:06:51.972000	2	4	0	<LOCAL_WORKSPACE>	https://github.com/promptdriven/pdd_cloud/issues/523 look at the issue and fully understan it
FEATURE	c70607ad-5222-43f5-8375-f172b55ca26d	2026-03-04T12:14:33.390000	2026-03-04T12:14:42.861000	2	4	0	<LOCAL_WORKSPACE>	https://github.com/promptdriven/pdd_cloud/issues/523 look at the issue and fully understan it                  and go through whole pdd and understand it fully
FEATURE	17a88476-b8c5-4801-a519-a8d48d50ce7b	2026-03-04T13:06:10.239000	2026-03-04T13:12:25.124000	2	3	0	<LOCAL_WORKSPACE>	https://github.com/promptdriven/pdd_cloud/issues/523 look at this issue and fully understand pdd workflow
FEATURE	108969ad-4fd1-4c25-933f-6554f772279e	2026-03-04T13:20:22.049000	2026-03-04T15:49:50.862000	32	3	0	<LOCAL_WORKSPACE>	https://github.com/promptdriven/pdd_cloud/issues/523 what caused the pdd change to retrigger? i just had label it completed, but pdd change retrigger
FEATURE	9343ffcb-d8a6-44ae-bb56-6a24b68da1d8	2026-03-04T16:19:41.984000	2026-03-04T16:19:41.984000	1	3	0	<LOCAL_WORKSPACE>	https://github.com/promptdriven/pdd_cloud/pull/524/changes can you fully review this pr end to end and see if it fully resolves the issue https://github.com/promptdriven/pdd_cloud/issues/523 and is th
FEATURE	528e6f50-0cae-409b-943a-19bf2a0a3a9c	2026-03-04T17:08:47.117000	2026-03-04T17:08:47.117000	1	2	0	<LOCAL_WORKSPACE>	https://github.com/promptdriven/pdd_cloud/issues/523 reivew this issue fully and the pdd, and also see the pr associated with it
FEATURE	841f0792-c4cb-425e-a8d7-87b3eae53051	2026-03-04T17:39:33.855000	2026-03-04T18:03:14.406000	2	2	0	<LOCAL_WORKSPACE>	https://github.com/promptdriven/pdd_cloud/issues/523 reivew this issue and the pr associated with it and fully understand the pdd, and see if we have any problems
FEATURE	e604aaf8-dc98-4924-846d-6e456a345d29	2026-03-04T17:44:06.791000	2026-03-04T19:19:49.391000	5	1	0	<LOCAL_WORKSPACE>/pdd_cloud/extensions/github_pdd_app	https://github.com/gltanaka/pdd/pull/711 can you see if this requires writing code for this pr or no,
FEATURE	52b27bc6-1438-4343-8507-755a27bbb682	2026-03-05T10:18:02.278000	2026-03-05T14:02:59.418000	20	7	0	<LOCAL_WORKSPACE>	https://github.com/promptdriven/pdd_cloud/pull/539 can you commit to this branch and push, i want to test something, just add anything this is test pr
FEATURE	a0453d11-484f-4030-8751-d8c029eccfae	2026-03-05T11:05:45.287000	2026-03-06T10:25:03.123000	131	10	0	<LOCAL_WORKSPACE>	give me the flow of it now, what it will do
FEATURE	0bb69cbb-bb09-4bcd-8760-556e364f9f20	2026-03-05T11:08:11.175000	2026-03-05T19:32:17.129000	62	2	0	<LOCAL_WORKSPACE>	can you check if we run agentic command how is output cost calculated and if its stdout or no, does it read csv or no? and also check which agentic commands have step markers, do all of them have or
FEATURE	0587d425-a6ea-495e-9d7d-032482b20f5b	2026-03-05T11:40:24.198000	2026-03-08T19:00:05.087000	137	3	0	<LOCAL_WORKSPACE>	/resume
