provider,model,input,output,coding_arena_elo,base_url,api_key,max_reasoning_tokens,structured_output,reasoning_type
OpenAI,gpt-4.1-nano,0.1,0.4,1246,,OPENAI_API_KEY,0,True,none
OpenAI,grok-3-beta,3.0,15.0,1255,https://api.x.ai/v1,XAI_API_KEY,0,False,none
Anthropic,claude-3-5-haiku-20241022,1.0,5.0,1259,,ANTHROPIC_API_KEY,0,True,none
Deepseek,deepseek/deepseek-coder,0.14,0.28,1279,https://api.deepseek.com/beta,DEEPSEEK_API_KEY,0,False,none
Google,gemini-2.5-flash-preview-04-17,0.15,3.5,1291,,GOOGLE_API_KEY,0,True,effort
GoogleVertexAI,gemini-2.5-pro-exp-03-25,1.25,10.0,1299,,VERTEX_AI_API_KEY,0,True,effort
Anthropic,claude-3-7-sonnet-20250219,3.0,15.0,1312,,ANTHROPIC_API_KEY,64000,True,budget
Google,gemini-2.5-pro-exp-03-25,1.25,10.0,1313,,GOOGLE_API_KEY,0,True,effort
OpenAI,deepseek-r1-distill-llama-70b-specdec,5.0,5.0,1314,https://api.groq.com/openai/v1,GROQ_API_KEY,0,False,none
Ollama,deepseek-r1:70b-llama-distill-q8_0,0.0,0.0,1315,,PWD,0,False,none
Ollama,deepseek-r1:32b-qwen-distill-fp16,0.0,0.0,1316,,PWD,0,False,none
OpenAI,o4-mini,1.1,4.4,1319,,OPENAI_API_KEY,0,True,effort
OpenAI,o3,10.0,40.0,1331,,OPENAI_API_KEY,0,True,effort
OpenAI,gpt-4.1,2.0,8.0,1332,,OPENAI_API_KEY,0,True,none
OpenAI,deepseek-reasoner,0.55,2.19,1336,https://api.deepseek.com/beta,DEEPSEEK_API_KEY,0,False,none
Fireworks,accounts/fireworks/models/deepseek-r1,3.0,8.0,1338,,FIREWORKS_API_KEY,0,False,none
