provider,model,input,output,coding_arena_elo,base_url,api_key,max_reasoning_tokens,structured_output,reasoning_type,location
OpenAI,gpt-5-nano,0.05,0.4,1300,,OPENAI_API_KEY,0,True,effort,
Google,vertex_ai/gemini-3-flash-preview,0.5,3.0,1440,,VERTEX_CREDENTIALS,0,True,effort,global
Google,vertex_ai/gemini-3.1-pro-preview,2.0,12.0,1461,,VERTEX_CREDENTIALS,0,True,effort,global
Google,gemini/gemini-3.1-pro-preview,2.0,12.0,1461,,GEMINI_API_KEY,0,True,effort,
OpenAI,gpt-5.1-codex-mini,0.25,2.0,1243,,OPENAI_API_KEY,0,True,effort,
OpenAI,gpt-5.2,1.75,14.0,1395,,OPENAI_API_KEY,0,True,effort,
OpenAI,gpt-5.2-codex,1.75,14.0,1336,,OPENAI_API_KEY,0,True,effort,
Google,vertex_ai/deepseek-ai/deepseek-v3.2-maas,0.56,1.68,1310,,VERTEX_CREDENTIALS,0,True,effort,global
Fireworks,fireworks_ai/accounts/fireworks/models/qwen3-coder-480b-a35b-instruct,0.45,1.80,1281,,FIREWORKS_API_KEY,0,False,none,
Google,vertex_ai/claude-opus-4-6,5.0,25.0,1561,,VERTEX_CREDENTIALS,128000,True,budget,global
lm_studio,lm_studio/qwen3-coder-next,0,0,1040,http://localhost:1234/v1,,0,True,none,
lm_studio,lm_studio/openai-gpt-oss-120b-mlx-6,0.0001,0,1082,http://localhost:1234/v1,,0,True,effort,
Fireworks,fireworks_ai/accounts/fireworks/models/glm-5,1.00,3.20,1456,,FIREWORKS_API_KEY,0,False,none,
Fireworks,fireworks_ai/accounts/fireworks/models/kimi-k2p5,0.60,3.00,1439,,FIREWORKS_API_KEY,0,False,none,
Anthropic,anthropic/claude-opus-4-6,5.0,25.0,1561,,ANTHROPIC_API_KEY,128000,True,budget,
Anthropic,anthropic/claude-haiku-4-5-20251001,1.0,5.0,1303,,ANTHROPIC_API_KEY,128000,True,budget,
Anthropic,anthropic/claude-sonnet-4-6,3.0,15.0,1524,,ANTHROPIC_API_KEY,128000,True,budget,
Google,vertex_ai/claude-sonnet-4-6,3.0,15.0,1524,,VERTEX_CREDENTIALS,128000,True,budget,
xAI,xai/grok-4-0709,3.0,15.0,1467,,XAI_API_KEY,0,True,effort,
xAI,xai/grok-4-1-fast-reasoning,0.20,0.50,1402,,XAI_API_KEY,0,True,none,
